customer_id|customer_name|industry|country_code|customer_segment|loyalty_tier|created_date
1|Netezza Customer 0001|Banking|DE|Small Business|Standard|2019-01-08
2|Netezza Customer 0002|Healthcare|AU|Commercial|Standard|2019-01-15
3|Netezza Customer 0003|Retail|CA|Enterprise|Standard|2019-01-22
4|Netezza Customer 0004|Manufacturing|FR|Small Business|Standard|2019-01-29
5|Netezza Customer 0005|Telecommunications|JP|Commercial|Gold|2019-02-05
6|Netezza Customer 0006|Insurance|GB|Enterprise|Standard|2019-02-12
7|Netezza Customer 0007|Energy|NL|Small Business|Standard|2019-02-19
8|Netezza Customer 0008|Transportation|US|Commercial|Standard|2019-02-26
9|Netezza Customer 0009|Banking|DE|Enterprise|Standard|2019-03-05
10|Netezza Customer 0010|Healthcare|AU|Small Business|Gold|2019-03-12
11|Netezza Customer 0011|Retail|CA|Commercial|\\N|2019-03-19
12|Netezza Customer 0012|Manufacturing|FR|Enterprise|Standard|2019-03-26
13|Netezza Customer 0013|Telecommunications|JP|Small Business|Standard|2019-04-02
14|Netezza Customer 0014|Insurance|GB|Commercial|Standard|2019-04-09
15|Netezza Customer 0015|Energy|NL|Enterprise|Gold|2019-04-16
16|Netezza Customer 0016|Transportation|US|Small Business|Standard|2019-04-23
17|Netezza Customer 0017|Banking|DE|Commercial|Standard|2019-04-30
18|Netezza Customer 0018|Healthcare|AU|Enterprise|Standard|2019-05-07
19|Netezza Customer 0019|Retail|CA|Small Business|Standard|2019-05-14
20|Netezza Customer 0020|Manufacturing|FR|Commercial|Gold|2019-05-21
21|Netezza Customer 0021|Telecommunications|JP|Enterprise|Standard|2019-05-28
22|Netezza Customer 0022|Insurance|GB|Small Business|\\N|2019-06-04
23|Netezza Customer 0023|Energy|NL|Commercial|Standard|2019-06-11
24|Netezza Customer 0024|Transportation|US|Enterprise|Standard|2019-06-18
25|Netezza Customer 0025|Banking|DE|Small Business|Gold|2019-06-25
26|Netezza Customer 0026|Healthcare|AU|Commercial|Standard|2019-07-02
27|Netezza Customer 0027|Retail|CA|Enterprise|Standard|2019-07-09
28|Netezza Customer 0028|Manufacturing|FR|Small Business|Standard|2019-07-16
29|Netezza Customer 0029|Telecommunications|JP|Commercial|Standard|2019-07-23
30|Netezza Customer 0030|Insurance|GB|Enterprise|Gold|2019-07-30
31|Netezza Customer 0031|Energy|NL|Small Business|Standard|2019-08-06
32|Netezza Customer 0032|Transportation|US|Commercial|Standard|2019-08-13
33|Netezza Customer 0033|Banking|DE|Enterprise|\\N|2019-08-20
34|Netezza Customer 0034|Healthcare|AU|Small Business|Standard|2019-08-27
35|Netezza Customer 0035|Retail|CA|Commercial|Gold|2019-09-03
36|Netezza Customer 0036|Manufacturing|FR|Enterprise|Standard|2019-09-10
37|Netezza Customer 0037|Telecommunications|JP|Small Business|Standard|2019-09-17
38|Netezza Customer 0038|Insurance|GB|Commercial|Standard|2019-09-24
39|Netezza Customer 0039|Energy|NL|Enterprise|Standard|2019-10-01
40|Netezza Customer 0040|Transportation|US|Small Business|Gold|2019-10-08
41|Netezza Customer 0041|Banking|DE|Commercial|Standard|2019-10-15
