order_line_id|order_id|product_id|quantity|unit_price|discount_pct|line_total
1|1|26|2|543.50|5.00|1032.65
2|2|28|8|579.00|0.00|4632.00
3|2|4|10|147.00|0.00|1470.00
4|3|18|7|399.50|0.00|2796.50
5|3|33|2|669.25|5.00|1271.58
6|3|36|2|723.00|5.00|1373.70
7|3|13|4|309.25|15.00|1051.45
8|3|21|9|453.25|0.00|4079.25
9|4|17|8|381.25|0.00|3050.00
10|4|25|9|525.25|0.00|4727.25
11|4|9|10|237.25|0.00|2372.50
12|4|11|1|273.75|0.00|273.75
13|5|31|6|633.75|0.00|3802.50
14|5|7|11|201.75|0.00|2219.25
15|5|5|9|165.25|0.00|1487.25
16|6|29|8|597.25|0.00|4778.00
17|6|33|7|669.25|0.00|4684.75
18|6|34|1|687.50|0.00|687.50
19|6|40|10|795.00|10.00|7155.00
20|7|15|4|345.75|0.00|1383.00
21|7|28|4|579.00|0.00|2316.00
22|7|10|9|255.50|0.00|2299.50
23|7|1|5|93.25|0.00|466.25
24|7|31|12|633.75|0.00|7605.00
25|8|25|7|525.25|0.00|3676.75
26|8|4|9|147.00|0.00|1323.00
27|8|11|2|273.75|0.00|547.50
28|8|10|11|255.50|0.00|2810.50
29|8|32|7|651.00|5.00|4329.15
30|9|15|8|345.75|0.00|2766.00
31|10|1|12|93.25|0.00|1119.00
32|11|16|11|363.00|0.00|3993.00
33|12|36|8|723.00|0.00|5784.00
34|12|4|1|147.00|0.00|147.00
35|13|30|2|615.50|0.00|1231.00
36|13|17|8|381.25|15.00|2592.50
37|13|39|2|777.75|15.00|1322.18
38|14|32|2|651.00|10.00|1171.80
39|14|1|12|93.25|0.00|1119.00
40|14|4|7|147.00|0.00|1029.00
41|15|36|9|723.00|0.00|6507.00
42|15|24|7|507.00|0.00|3549.00
43|15|19|7|417.75|5.00|2778.04
44|15|34|12|687.50|0.00|8250.00
45|16|39|9|777.75|5.00|6649.76
46|16|3|12|129.75|0.00|1557.00
47|16|18|11|399.50|0.00|4394.50
48|16|36|6|723.00|10.00|3904.20
49|16|40|12|795.00|0.00|9540.00
50|17|33|8|669.25|10.00|4818.60
51|18|39|11|777.75|0.00|8555.25
52|18|5|11|165.25|0.00|1817.75
53|18|15|10|345.75|0.00|3457.50
54|19|38|12|759.50|5.00|8658.30
55|19|14|3|327.50|0.00|982.50
56|19|17|8|381.25|15.00|2592.50
57|19|21|4|453.25|5.00|1722.35
58|19|15|11|345.75|0.00|3803.25
59|20|25|10|525.25|10.00|4727.25
60|20|36|12|723.00|5.00|8242.20
61|21|10|1|255.50|0.00|255.50
62|21|37|5|741.25|0.00|3706.25
63|21|29|7|597.25|0.00|4180.75
64|22|11|4|273.75|0.00|1095.00
65|22|17|7|381.25|0.00|2668.75
66|22|35|9|705.75|10.00|5716.58
67|22|2|1|111.50|0.00|111.50
68|23|33|11|669.25|0.00|7361.75
69|23|20|2|435.00|5.00|826.50
70|23|10|10|255.50|0.00|2555.00
71|24|7|8|201.75|0.00|1614.00
72|25|11|2|273.75|0.00|547.50
73|25|14|1|327.50|10.00|294.75
74|25|26|8|543.50|0.00|4348.00
75|25|6|10|183.50|15.00|1559.75
76|26|17|5|381.25|15.00|1620.31
77|26|17|4|381.25|5.00|1448.75
78|27|12|5|291.00|0.00|1455.00
79|27|29|2|597.25|0.00|1194.50
80|27|21|10|453.25|10.00|4079.25
81|27|7|11|201.75|0.00|2219.25
82|27|8|2|219.00|10.00|394.20
83|28|8|12|219.00|0.00|2628.00
84|28|32|6|651.00|0.00|3906.00
85|28|1|4|93.25|15.00|317.05
86|28|27|1|561.75|10.00|505.58
87|29|28|11|579.00|0.00|6369.00
88|29|1|2|93.25|10.00|167.85
89|29|4|5|147.00|0.00|735.00
90|29|17|7|381.25|15.00|2268.44
91|29|16|12|363.00|0.00|4356.00
92|30|25|10|525.25|15.00|4464.63
93|30|30|1|615.50|0.00|615.50
94|31|7|7|201.75|15.00|1200.41
95|32|7|5|201.75|0.00|1008.75
96|33|25|7|525.25|15.00|3125.24
97|33|35|5|705.75|5.00|3352.31
98|33|11|7|273.75|5.00|1820.44
99|33|6|5|183.50|5.00|871.63
100|34|25|2|525.25|10.00|945.45
101|34|9|12|237.25|5.00|2704.65
102|35|10|11|255.50|10.00|2529.45
103|35|17|10|381.25|15.00|3240.63
104|35|14|7|327.50|0.00|2292.50
105|35|21|1|453.25|0.00|453.25
106|35|39|1|777.75|0.00|777.75
107|36|2|5|111.50|0.00|557.50
108|36|4|2|147.00|5.00|279.30
109|36|37|11|741.25|0.00|8153.75
110|37|4|5|147.00|0.00|735.00
111|38|14|3|327.50|0.00|982.50
112|39|4|11|147.00|5.00|1536.15
113|39|6|9|183.50|15.00|1403.78
114|39|9|12|237.25|0.00|2847.00
115|40|26|9|543.50|10.00|4402.35
116|40|35|5|705.75|15.00|2999.44
117|40|28|11|579.00|15.00|5413.65
118|40|9|4|237.25|5.00|901.55
119|41|12|1|291.00|0.00|291.00
120|41|39|6|777.75|0.00|4666.50
121|41|29|4|597.25|0.00|2389.00
122|42|30|11|615.50|0.00|6770.50
123|42|40|12|795.00|0.00|9540.00
124|42|34|9|687.50|0.00|6187.50
125|42|34|2|687.50|10.00|1237.50
126|42|26|12|543.50|15.00|5543.70
127|43|40|4|795.00|0.00|3180.00
128|44|5|3|165.25|15.00|421.39
129|44|17|4|381.25|10.00|1372.50
130|44|33|11|669.25|0.00|7361.75
131|44|28|3|579.00|0.00|1737.00
132|45|36|5|723.00|5.00|3434.25
133|46|20|5|435.00|5.00|2066.25
134|46|38|10|759.50|15.00|6455.75
135|46|32|3|651.00|5.00|1855.35
136|46|1|9|93.25|0.00|839.25
137|46|19|5|417.75|0.00|2088.75
138|47|20|8|435.00|0.00|3480.00
139|47|15|10|345.75|0.00|3457.50
140|47|9|3|237.25|0.00|711.75
141|48|7|1|201.75|0.00|201.75
142|48|27|11|561.75|15.00|5252.36
143|48|19|6|417.75|0.00|2506.50
144|48|5|7|165.25|0.00|1156.75
145|48|20|5|435.00|0.00|2175.00
146|49|37|2|741.25|10.00|1334.25
147|49|28|10|579.00|10.00|5211.00
148|49|24|7|507.00|15.00|3016.65
149|49|27|9|561.75|10.00|4550.18
150|50|31|7|633.75|0.00|4436.25
151|50|11|12|273.75|10.00|2956.50
152|50|14|3|327.50|0.00|982.50
153|50|25|6|525.25|0.00|3151.50
154|50|36|9|723.00|0.00|6507.00
155|51|28|4|579.00|15.00|1968.60
156|51|20|6|435.00|0.00|2610.00
157|51|17|2|381.25|5.00|724.38
158|52|12|12|291.00|15.00|2968.20
159|52|5|1|165.25|0.00|165.25
160|52|23|6|489.75|10.00|2644.65
161|53|9|12|237.25|0.00|2847.00
162|53|1|7|93.25|5.00|620.11
163|54|15|6|345.75|0.00|2074.50
164|54|6|5|183.50|0.00|917.50
165|55|8|12|219.00|10.00|2365.20
166|55|6|1|183.50|5.00|174.33
167|55|19|4|417.75|10.00|1503.90
168|55|7|10|201.75|0.00|2017.50
169|56|16|7|363.00|15.00|2159.85
170|57|27|4|561.75|15.00|1909.95
171|57|15|4|345.75|0.00|1383.00
172|57|3|8|129.75|0.00|1038.00
173|58|20|12|435.00|15.00|4437.00
174|58|31|5|633.75|0.00|3168.75
175|59|12|7|291.00|5.00|1935.15
176|60|20|5|435.00|5.00|2066.25
177|60|22|9|471.50|0.00|4243.50
178|61|39|11|777.75|0.00|8555.25
179|61|8|9|219.00|15.00|1675.35
180|61|23|7|489.75|15.00|2914.01
181|61|6|8|183.50|0.00|1468.00
182|62|3|9|129.75|0.00|1167.75
183|62|14|3|327.50|0.00|982.50
184|63|32|6|651.00|0.00|3906.00
185|63|18|5|399.50|0.00|1997.50
186|64|3|3|129.75|5.00|369.79
187|65|11|12|273.75|0.00|3285.00
188|66|21|7|453.25|0.00|3172.75
189|66|7|8|201.75|5.00|1533.30
190|67|8|7|219.00|5.00|1456.35
191|67|21|7|453.25|0.00|3172.75
192|67|32|4|651.00|0.00|2604.00
193|67|25|9|525.25|15.00|4018.16
194|67|32|10|651.00|10.00|5859.00
195|68|5|10|165.25|0.00|1652.50
196|69|29|12|597.25|0.00|7167.00
197|69|40|1|795.00|15.00|675.75
198|69|10|9|255.50|5.00|2184.53
199|69|19|12|417.75|0.00|5013.00
200|70|7|7|201.75|0.00|1412.25
201|70|36|4|723.00|15.00|2458.20
202|70|19|6|417.75|10.00|2255.85
203|70|2|10|111.50|15.00|947.75
204|70|35|9|705.75|5.00|6034.16
205|71|24|5|507.00|5.00|2408.25
206|71|9|4|237.25|10.00|854.10
207|71|14|6|327.50|0.00|1965.00
208|72|23|9|489.75|0.00|4407.75
209|72|35|8|705.75|15.00|4799.10
210|72|16|3|363.00|0.00|1089.00
211|72|24|4|507.00|10.00|1825.20
212|72|3|4|129.75|0.00|519.00
213|73|16|10|363.00|0.00|3630.00
214|73|23|4|489.75|0.00|1959.00
215|73|39|5|777.75|0.00|3888.75
216|73|30|3|615.50|10.00|1661.85
217|74|40|9|795.00|5.00|6797.25
218|74|36|12|723.00|5.00|8242.20
219|74|12|7|291.00|0.00|2037.00
220|74|30|10|615.50|0.00|6155.00
221|74|33|7|669.25|0.00|4684.75
222|75|26|3|543.50|15.00|1385.93
223|75|37|7|741.25|5.00|4929.31
224|75|34|4|687.50|0.00|2750.00
225|75|17|3|381.25|0.00|1143.75
226|75|21|6|453.25|0.00|2719.50
227|76|5|11|165.25|0.00|1817.75
228|76|39|5|777.75|15.00|3305.44
229|77|3|9|129.75|0.00|1167.75
230|77|17|7|381.25|0.00|2668.75
231|77|35|7|705.75|5.00|4693.24
232|78|33|1|669.25|0.00|669.25
233|78|33|9|669.25|0.00|6023.25
234|78|10|5|255.50|0.00|1277.50
235|79|21|12|453.25|15.00|4623.15
236|79|21|4|453.25|10.00|1631.70
237|79|34|5|687.50|15.00|2921.88
238|79|16|8|363.00|0.00|2904.00
239|79|10|1|255.50|5.00|242.73
240|80|6|8|183.50|10.00|1321.20
241|80|40|10|795.00|10.00|7155.00
242|80|6|9|183.50|5.00|1568.93
243|81|36|11|723.00|10.00|7157.70
244|81|26|6|543.50|0.00|3261.00
245|81|30|5|615.50|15.00|2615.88
246|81|4|8|147.00|10.00|1058.40
247|81|3|11|129.75|0.00|1427.25
248|82|39|7|777.75|15.00|4627.61
249|82|1|8|93.25|15.00|634.10
250|83|4|5|147.00|0.00|735.00
251|83|35|8|705.75|0.00|5646.00
252|83|8|1|219.00|0.00|219.00
253|84|9|6|237.25|0.00|1423.50
254|84|40|4|795.00|15.00|2703.00
255|84|9|12|237.25|0.00|2847.00
256|84|29|9|597.25|5.00|5106.49
257|84|8|1|219.00|0.00|219.00
258|85|28|5|579.00|15.00|2460.75
259|85|7|6|201.75|5.00|1149.98
260|85|26|12|543.50|10.00|5869.80
261|86|20|5|435.00|0.00|2175.00
262|86|32|6|651.00|15.00|3320.10
263|86|19|4|417.75|0.00|1671.00
264|86|1|2|93.25|0.00|186.50
265|86|9|1|237.25|0.00|237.25
266|87|1|12|93.25|10.00|1007.10
267|87|3|3|129.75|15.00|330.86
268|88|11|3|273.75|0.00|821.25
269|89|17|11|381.25|5.00|3984.06
270|89|29|2|597.25|5.00|1134.78
271|90|10|12|255.50|0.00|3066.00
272|90|8|9|219.00|0.00|1971.00
273|90|20|6|435.00|10.00|2349.00
274|91|17|6|381.25|0.00|2287.50
275|91|39|5|777.75|15.00|3305.44
276|92|21|3|453.25|5.00|1291.76
277|92|16|6|363.00|15.00|1851.30
278|92|8|10|219.00|0.00|2190.00
279|92|7|5|201.75|5.00|958.31
280|92|16|8|363.00|0.00|2904.00
281|93|6|1|183.50|0.00|183.50
282|94|4|6|147.00|15.00|749.70
283|94|16|11|363.00|0.00|3993.00
284|94|22|5|471.50|15.00|2003.88
285|94|5|1|165.25|0.00|165.25
286|95|34|7|687.50|0.00|4812.50
287|95|24|8|507.00|15.00|3447.60
288|95|13|9|309.25|0.00|2783.25
289|95|22|9|471.50|5.00|4031.33
290|96|7|7|201.75|0.00|1412.25
291|96|14|12|327.50|5.00|3733.50
292|96|40|7|795.00|0.00|5565.00
293|96|23|1|489.75|10.00|440.78
294|97|35|10|705.75|5.00|6704.63
295|97|30|2|615.50|5.00|1169.45
296|97|10|4|255.50|10.00|919.80
297|97|15|4|345.75|0.00|1383.00
298|98|2|7|111.50|15.00|663.43
299|99|24|8|507.00|10.00|3650.40
300|99|5|11|165.25|10.00|1635.98
301|99|9|8|237.25|15.00|1613.30
302|99|19|2|417.75|10.00|751.95
303|100|36|4|723.00|0.00|2892.00
304|101|36|6|723.00|0.00|4338.00
305|101|27|7|561.75|0.00|3932.25
306|101|28|4|579.00|0.00|2316.00
307|101|11|6|273.75|0.00|1642.50
308|101|26|4|543.50|5.00|2065.30
309|102|6|10|183.50|10.00|1651.50
310|102|27|10|561.75|5.00|5336.63
311|102|37|1|741.25|0.00|741.25
312|102|21|5|453.25|0.00|2266.25
313|102|19|3|417.75|0.00|1253.25
314|103|23|12|489.75|0.00|5877.00
315|103|23|3|489.75|10.00|1322.33
316|103|25|10|525.25|5.00|4989.88
317|103|20|11|435.00|0.00|4785.00
318|104|27|8|561.75|0.00|4494.00
319|105|17|2|381.25|0.00|762.50
320|105|17|8|381.25|0.00|3050.00
321|105|37|3|741.25|0.00|2223.75
322|106|24|10|507.00|0.00|5070.00
323|106|15|12|345.75|0.00|4149.00
324|106|8|1|219.00|15.00|186.15
325|107|24|7|507.00|10.00|3194.10
326|107|25|12|525.25|0.00|6303.00
327|107|36|3|723.00|15.00|1843.65
328|107|35|12|705.75|0.00|8469.00
329|107|2|8|111.50|10.00|802.80
330|108|13|3|309.25|15.00|788.59
331|108|29|6|597.25|15.00|3045.98
332|109|9|7|237.25|0.00|1660.75
333|109|21|6|453.25|15.00|2311.58
334|109|8|10|219.00|10.00|1971.00
335|109|14|3|327.50|5.00|933.38
336|110|33|4|669.25|0.00|2677.00
337|110|38|8|759.50|5.00|5772.20
338|110|22|2|471.50|5.00|895.85
339|110|35|12|705.75|0.00|8469.00
340|111|12|12|291.00|15.00|2968.20
341|111|37|10|741.25|0.00|7412.50
342|111|18|5|399.50|15.00|1697.88
343|112|21|4|453.25|5.00|1722.35
344|112|28|7|579.00|15.00|3445.05
345|112|38|12|759.50|10.00|8202.60
346|112|13|7|309.25|0.00|2164.75
